area,occupation,year,workers
BGR,Professional services,2023,3.76
BGR,Professional services,2024,4.3
BGR,Sales and marketing support,2017,142.94
BGR,Sales and marketing support,2018,104.15
BGR,Sales and marketing support,2019,44.49
BGR,Sales and marketing support,2020,108.31
BGR,Sales and marketing support,2021,130.49
BGR,Sales and marketing support,2022,125.23
BGR,Sales and marketing support,2023,74.82
BGR,Sales and marketing support,2024,71.7
BGR,Software development and technology,2017,194.52
BGR,Software development and technology,2018,167.29
BGR,Software development and technology,2019,278.73
BGR,Software development and technology,2020,437.94
BGR,Software development and technology,2021,453.49
BGR,Software development and technology,2022,325.26
BGR,Software development and technology,2023,197.77
BGR,Software development and technology,2024,230.25
BGR,Writing and translation,2017,105.82
BGR,Writing and translation,2018,61.99
BGR,Writing and translation,2019,48.49
BGR,Writing and translation,2020,36.46
BGR,Writing and translation,2021,37.35
BGR,Writing and translation,2022,13.49
BGR,Writing and translation,2023,10.82
BGR,Writing and translation,2024,5.55
BHR,Clerical and data entry,2022,1.15
BHR,Creative and multimedia,2018,21.34
BHR,Creative and multimedia,2019,62.54
BHR,Creative and multimedia,2020,94.51
BHR,Creative and multimedia,2021,15.78
BHR,Creative and multimedia,2022,57.89
BHR,Creative and multimedia,2023,115.44
BHR,Creative and multimedia,2024,22.67
BHR,Professional services,2018,17.22
BHR,Professional services,2019,0.4
BHR,Professional services,2022,1.52
BHR,Professional services,2023,0.61
BHR,Professional services,2024,0.63
BHR,Sales and marketing support,2021,4.0
BHR,Sales and marketing support,2022,0.13
BHR,Sales and marketing support,2023,0.21
BHR,Sales and marketing support,2024,0.21
BHR,Software development and technology,2017,13.84
BHR,Software development and technology,2018,1.0
BHR,Software development and technology,2020,14.4
BHR,Software development and technology,2021,44.73
BHR,Software development and technology,2022,2.25
BHR,Software development and technology,2023,0.88
BHR,Software development and technology,2024,0.54
BHR,Writing and translation,2017,9.54
BHR,Writing and translation,2019,13.2
BHR,Writing and translation,2020,13.05
BHR,Writing and translation,2021,8.0
BHR,Writing and translation,2022,3.5
BHR,Writing and translation,2023,3.5
BHR,Writing and translation,2024,5.17
BHS,Clerical and data entry,2020,2.6
BHS,Clerical and data entry,2021,7.88
BHS,Creative and multimedia,2022,60.71
BHS,Creative and multimedia,2024,0.82
BHS,Professional services,2017,23.19
BHS,Professional services,2018,22.66
BHS,Professional services,2020,3.66
BHS,Professional services,2022,0.32
BHS,Professional services,2023,0.49
BHS,Sales and marketing support,2018,23.07
BHS,Sales and marketing support,2020,3.66
BHS,Sales and marketing support,2022,2.26
BHS,Sales and marketing support,2023,2.09
BHS,Sales and marketing support,2024,2.25
BHS,Software development and technology,2022,0.25
BHS,Software development and technology,2023,0.34
BHS,Software development and technology,2024,0.1
BHS,Writing and translation,2018,23.36
BHS,Writing and translation,2019,25.96
BHS,Writing and translation,2020,4.11
BHS,Writing and translation,2021,8.78
BHS,Writing and translation,2022,18.15
BHS,Writing and translation,2023,0.25
BHS,Writing and translation,2024,0.16
BIH,Clerical and data entry,2018,14.65
BIH,Clerical and data entry,2019,41.9
BIH,Clerical and data entry,2020,21.27
BIH,Clerical and data entry,2021,15.83
BIH,Clerical and data entry,2022,8.17
BIH,Clerical and data entry,2023,8.87
BIH,Clerical and data entry,2024,4.47
BIH,Creative and multimedia,2017,168.69
BIH,Creative and multimedia,2018,167.35
BIH,Creative and multimedia,2019,562.38
BIH,Creative and multimedia,2020,790.08
BIH,Creative and multimedia,2021,792.86
BIH,Creative and multimedia,2022,449.88
BIH,Creative and multimedia,2023,191.08
BIH,Creative and multimedia,2024,76.37
BIH,Professional services,2019,5.79
BIH,Professional services,2020,15.43
BIH,Professional services,2022,2.89
BIH,Professional services,2023,2.95
BIH,Professional services,2024,1.77
BIH,Sales and marketing support,2018,40.12
BIH,Sales and marketing support,2019,56.11
BIH,Sales and marketing support,2020,8.82
BIH,Sales and marketing support,2021,42.75
BIH,Sales and marketing support,2022,56.32
BIH,Sales and marketing support,2023,60.68
BIH,Sales and marketing support,2024,22.1
BIH,Software development and technology,2017,45.78
BIH,Software development and technology,2018,78.74
BIH,Software development and technology,2019,127.68
BIH,Software development and technology,2020,156.02
BIH,Software development and technology,2021,307.33
BIH,Software development and technology,2022,93.54
BIH,Software development and technology,2023,41.96
BIH,Software development and technology,2024,18.91
BIH,Writing and translation,2017,13.84
BIH,Writing and translation,2018,21.39
BIH,Writing and translation,2019,36.45
BIH,Writing and translation,2020,11.92
BIH,Writing and translation,2022,47.65
BIH,Writing and translation,2023,2.65
BIH,Writing and translation,2024,2.57
BLR,Clerical and data entry,2021,0.4
BLR,Clerical and data entry,2023,3.63
BLR,Clerical and data entry,2024,8.29
BLR,Creative and multimedia,2017,55.35
BLR,Creative and multimedia,2018,38.87
BLR,Creative and multimedia,2019,55.25
BLR,Creative and multimedia,2020,137.9
BLR,Creative and multimedia,2021,74.4
BLR,Creative and multimedia,2022,336.27
BLR,Creative and multimedia,2023,234.61
BLR,Creative and multimedia,2024,141.75
BLR,Professional services,2019,100.04
BLR,Professional services,2020,136.5
BLR,Professional services,2021,152.48
BLR,Professional services,2022,56.42
BLR,Professional services,2023,7.62
BLR,Professional services,2024,10.16
BLR,Sales and marketing support,2020,27.63
BLR,Sales and marketing support,2022,84.84
BLR,Sales and marketing support,2023,98.76
BLR,Sales and marketing support,2024,111.37
BLR,Software development and technology,2017,18.58
BLR,Software development and technology,2018,39.16
BLR,Software development and technology,2019,157.12
BLR,Software development and technology,2020,390.0
BLR,Software development and technology,2021,869.73
BLR,Software development and technology,2022,2181.72
BLR,Software development and technology,2023,685.41
BLR,Software development and technology,2024,513.95
BLR,Writing and translation,2017,8.44
BLR,Writing and translation,2019,16.3
BLR,Writing and translation,2020,4.12
BLR,Writing and translation,2021,21.68
BLR,Writing and translation,2022,9.1
BLR,Writing and translation,2023,0.53
BLR,Writing and translation,2024,20.33
BLZ,Clerical and data entry,2017,13.79
BLZ,Clerical and data entry,2019,2.2
BLZ,Clerical and data entry,2020,1.6
BLZ,Clerical and data entry,2021,8.0
BLZ,Clerical and data entry,2022,9.92
BLZ,Creative and multimedia,2019,17.18
BLZ,Creative and multimedia,2020,10.42
BLZ,Creative and multimedia,2022,0.24
BLZ,Creative and multimedia,2023,0.42
BLZ,Professional services,2017,11.45
BLZ,Professional services,2018,29.93
BLZ,Sales and marketing support,2018,17.32
BLZ,Sales and marketing support,2019,4.52
BLZ,Sales and marketing support,2020,4.35
BLZ,Writing and translation,2017,15.51
BLZ,Writing and translation,2019,1.0
BLZ,Writing and translation,2022,7.73
BMU,Professional services,2019,22.97
BMU,Sales and marketing support,2019,0.4
BMU,Sales and marketing support,2024,0.23
BMU,Writing and translation,2024,0.1
BOL,Clerical and data entry,2019,19.51
BOL,Clerical and data entry,2020,8.0
BOL,Clerical and data entry,2022,32.17
BOL,Clerical and data entry,2023,0.06
BOL,Creative and multimedia,2018,12.25
BOL,Creative and multimedia,2019,13.77
BOL,Creative and multimedia,2020,36.84
BOL,Creative and multimedia,2021,105.94
BOL,Creative and multimedia,2022,205.89
BOL,Creative and multimedia,2023,92.57
BOL,Creative and multimedia,2024,37.45
BOL,Professional services,2019,2.0
BOL,Professional services,2022,6.44
BOL,Professional services,2023,0.02
BOL,Professional services,2024,0.02
BOL,Sales and marketing support,2022,7.06
BOL,Sales and marketing support,2023,0.71
BOL,Sales and marketing support,2024,0.01
BOL,Software development and technology,2019,6.72
BOL,Software development and technology,2020,27.37
BOL,Software development and technology,2021,43.31
BOL,Software development and technology,2022,121.47
BOL,Software development and technology,2023,88.76
BOL,Software development and technology,2024,124.3
BOL,Writing and translation,2018,23.63
BOL,Writing and translation,2019,12.48
BOL,Writing and translation,2020,11.73
BOL,Writing and translation,2021,21.71
BOL,Writing and translation,2022,13.92
BOL,Writing and translation,2023,0.1
BOL,Writing and translation,2024,0.84
BRA,Clerical and data entry,2017,16.34
BRA,Clerical and data entry,2018,19.0
BRA,Clerical and data entry,2019,10.99
BRA,Clerical and data entry,2020,9.94
BRA,Clerical and data entry,2021,7.0
BRA,Clerical and data entry,2022,26.96
BRA,Clerical and data entry,2023,5.97
BRA,Clerical and data entry,2024,35.65
BRA,Creative and multimedia,2017,210.67
BRA,Creative and multimedia,2018,233.96
BRA,Creative and multimedia,2019,490.64
BRA,Creative and multimedia,2020,632.01
BRA,Creative and multimedia,2021,972.79
BRA,Creative and multimedia,2022,1975.13
BRA,Creative and multimedia,2023,1171.02
BRA,Creative and multimedia,2024,1103.97
BRA,Professional services,2017,21.62
